"createtime","model_name","model_version","group_id","aggregation_level","feature_name","ks_stat","p_value","prediction_as_of_datetime_utc"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","weight_last","0.7562057","0.0000351","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","no_of_new_drug_taken","0.2947977","0.4157642","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","total_drugs_taken","0.7952312","0.0000076","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","tube_feeding","0.016185","1","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","npo","0.0023121","1","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","num_abnormal_labs_3day","0.0936416","0.9999914","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","num_panic_labs_3day","0.0046243","1","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_1_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_2_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_3_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_4_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_5_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_6_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","days_back_7_notes","1","0","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pain_level_trend","0.1408479","0.99523","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pain_level_median","0.6067912","0.0056767","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pain_level_variance","0.2445248","0.718929","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pain_level_last","0.6799277","0.0010711","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pulse_trend","0.2176667","0.7751621","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pulse_median","0.8723333","0.0000002","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pulse_variance","0.5373333","0.0116188","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","day_of_stay","0.524711","0.0147793","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","age","0.375","0.164733","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","severe_comorbidity_1","0.7236994","0.5542725","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","severe_comorbidity_2","0.7121387","0.5773672","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","severe_comorbidity_3","0.8208092","0.3602771","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","severe_comorbidity_4","0.6855491","0.630485","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","severe_comorbidity_5","0.5156069","0.9699769","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","pulse_last","0.8616667","0.0000003","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_systolic_trend","0.3302737","0.2854022","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_systolic_median","0.75","0.0000418","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_systolic_variance","0.4736315","0.0377084","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_systolic_last","0.7459947","0.000048","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_diastolic_trend","0.246996","0.6331253","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_diastolic_median","0.75","0.0000418","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_diastolic_variance","0.5220294","0.0156761","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","bp_diastolic_last","0.75","0.0000418","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","blood_sugar_trend","0.272093","0.5283295","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","blood_sugar_median","0.6290698","0.0017457","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","blood_sugar_variance","0.3348837","0.2852733","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","blood_sugar_last","0.5819767","0.0053376","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","temperature_trend","0.2163698","0.839001","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","respiration_trend","0.3254814","0.3006031","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","respiration_median","0.8694979","0.0000002","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","respiration_variance","0.6002407","0.0029479","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","respiration_last","0.7444979","0.0000497","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","weight_trend","0.3882979","0.1406189","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","weight_median","0.7632979","0.0000272","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","weight_variance","0.5824468","0.004578","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","temperature_median","0.8571429","0.0000029","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","temperature_variance","0.4414551","0.0954267","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","temperature_last","0.8558166","0.0000031","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","o2_sats_trend","0.1573034","0.9729347","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","o2_sats_median","0.872191","0.0000002","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","o2_sats_variance","0.241573","0.6624802","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_9_6_am","run","o2_sats_last","0.866573","0.0000003","2025-09-06 15:00:06.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","temperature_median","0.875","0.0000002","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","temperature_variance","0.581565","0.004561","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","temperature_last","0.8736737","0.0000002","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","o2_sats_trend","0.2688826","0.4632993","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","o2_sats_median","0.8860799","0","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","o2_sats_variance","0.1860175","0.8653237","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","o2_sats_last","0.8804619","0","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pain_level_trend","0.4018485","0.1595412","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pain_level_median","0.6813341","0.0010342","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pain_level_variance","0.4133012","0.1385411","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pain_level_last","0.7249347","0.0003236","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pulse_trend","0.3204444","0.2595764","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pulse_median","0.8862222","0","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","pulse_variance","0.4915556","0.0167067","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","day_of_stay","0.5385999","0.0060858","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","age","0.2563705","0.520954","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","severe_comorbidity_1","0.3375723","0.7677579","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","severe_comorbidity_2","0.7121387","0.0485275","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","severe_comorbidity_3","0.8208092","0.0118756","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","severe_comorbidity_4","0.6855491","0.0631276","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","severe_comorbidity_5","0.5156069","0.299993","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","bp_diastolic_variance","0.552737","0.0044293","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","bp_diastolic_last","0.6666667","0.0002047","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","blood_sugar_trend","0.3095607","0.3076628","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","blood_sugar_median","0.6377261","0.0006369","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","blood_sugar_variance","0.3074935","0.3191664","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","blood_sugar_last","0.4935401","0.0186116","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","temperature_trend","0.4230769","0.0845342","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","weight_last","0.7878251","0.0000025","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","no_of_new_drug_taken","0.2947977","0.3491919","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","total_drugs_taken","0.8091201","0.0000009","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","tube_feeding","0.016185","1","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","npo","0.0023121","1","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","num_abnormal_labs_3day","0.0936416","0.9999707","2025-08-11 04:00:05.000"
"2025-09-24 19:05:19.6227350","prth","1.0.7","2025_8_11_am","run","num_panic_labs_3day","0.0046243","1","2025-08-11 04:00:05.000"
