,prediction_id,prediction_timestamp,prediction_score,actual_label,transaction_amount,user_history_days,device_type,location_risk
0,pred_0,2025-10-03 05:06:58.753172,0.32525859911928445,0,257.92733760051436,488,tablet,0.5810743402669711
1,pred_1,2025-10-06 02:31:59.753172,0.13256035658315563,0,57.7650175184654,600,mobile,0.21490625933770863
2,pred_2,2025-10-07 11:44:08.753172,0.2828025532092229,0,14.749041087848669,859,mobile,0.33268252904190326
3,pred_3,2025-10-06 08:52:08.753172,0.08266134224220861,0,242.60705005855993,838,tablet,0.07018157163527623
4,pred_4,2025-09-30 23:01:33.753172,0.12595905399388393,1,4.211976481572567,70,tablet,0.10783528022983142
5,pred_5,2025-10-04 17:13:11.753172,0.09026717806673558,0,16.07116181163099,661,tablet,0.16135911722688726
6,pred_6,2025-10-06 23:53:21.753172,0.09511111022389084,0,2.7721052601766933,961,tablet,0.21676448907090018
7,pred_7,2025-10-07 12:45:21.753172,0.12605335906232676,0,21.907912890918393,646,tablet,0.06874802790577181
8,pred_8,2025-10-07 10:11:45.753172,0.15064350784455416,0,185.65911137043318,239,tablet,0.36299435048360373
9,pred_9,2025-10-06 06:19:27.753172,0.1346694229044916,0,22.29159527150088,961,mobile,0.19798340144295223
10,pred_10,2025-10-02 23:12:58.753172,0.16736139144583828,0,7.804883682198254,290,desktop,0.2742349038037335
11,pred_11,2025-10-01 08:44:43.753172,0.3829760944228615,0,20.327696728713825,27,desktop,0.12336091784955276
12,pred_12,2025-10-06 22:07:30.753172,0.20809744683859716,1,14.477543212778112,594,mobile,0.3208891350346666
13,pred_13,2025-10-02 15:50:49.753172,0.09661692177904779,0,52.51336814291294,468,tablet,0.08591746080964845
14,pred_14,2025-10-01 03:03:11.753172,0.17513324462126395,0,30.22850642690497,742,desktop,0.41812579324241544
15,pred_15,2025-09-30 18:48:33.753172,0.23213632219094726,0,5.556433725735704,452,desktop,0.41128781252104607
16,pred_16,2025-10-05 11:51:32.753172,0.33196810611962707,0,4.773101718103126,299,desktop,0.5993698848130656
17,pred_17,2025-10-06 11:48:47.753172,0.09482716461870465,0,92.50779561242629,517,mobile,0.1862621439837071
18,pred_18,2025-10-06 18:17:41.753172,0.0934162251343316,0,49.44706874183018,364,tablet,0.01830103807166971
19,pred_19,2025-10-07 15:49:03.753172,0.1164640446118375,0,4.15170341778083,851,tablet,0.019949006026802392
20,pred_20,2025-10-03 09:59:48.753172,0.2415847176455217,0,6.105437749219768,483,mobile,0.3832441546080359
21,pred_21,2025-10-05 08:13:04.753172,0.1934663739019957,0,9.979710206551395,139,desktop,0.31576779736849797
22,pred_22,2025-10-05 01:53:50.753172,0.26742497307071234,0,5.988926536026667,209,desktop,0.31862335371630063
